zip_code,year,month,eto_in,precip_in
95442,2014,3,3.2,0
95442,2014,4,4.36,0
95442,2014,5,6.14,0
95442,2014,6,6.61,0
95442,2014,7,6.67,0
95442,2014,8,5.73,0
95442,2014,9,4.55,0
95442,2014,10,3.28,0
95442,2014,11,1.51,0
95442,2014,12,1.03,0
93446,2014,1,2.43,0
93446,2014,2,2.32,0
93446,2014,3,3.85,0
93446,2014,4,4.85,0
93446,2014,5,6.58,0
93446,2014,6,6.79,0
93446,2014,7,6.97,0
93446,2014,8,6.53,0
93446,2014,9,5.11,0
93446,2014,10,4.22,0
93446,2014,11,2.14,0
93446,2014,12,1.36,0
93455,2014,1,2.76,0
93455,2014,2,2.51,0
93455,2014,3,3.79,0
93455,2014,4,4.53,0
93455,2014,5,5.890000000000001,0
93455,2014,6,5.26,0
93455,2014,7,5.76,0
93455,2014,8,5.44,0
93455,2014,9,4.34,0
93455,2014,10,3.92,0
93455,2014,11,2.58,0
93455,2014,12,1.77,0
93609,2014,1,1.79,0
93609,2014,2,2.25,0
93609,2014,3,4.08,0
93609,2014,4,5.61,0
93609,2014,5,8.21,0
93609,2014,6,9.19,0
93609,2014,7,9.21,0
93609,2014,8,8.23,0
93609,2014,9,6.34,0
93609,2014,10,4.2700000000000005,0
93609,2014,11,1.65,0
93609,2014,12,1.04,0
93638,2014,1,1.66,0
93638,2014,2,2.15,0
93638,2014,3,3.95,0
93638,2014,4,5.45,0
93638,2014,5,8.01,0
93638,2014,6,8.97,0
93638,2014,7,8.95,0
93638,2014,8,7.7,0
93638,2014,9,6.04,0
93638,2014,10,4.08,0
93638,2014,11,1.6,0
93638,2014,12,1.08,0
95242,2014,1,1.85,0
95242,2014,2,1.95,0
95242,2014,3,3.77,0
95242,2014,4,5.07,0
95242,2014,5,7.46,0
95242,2014,6,8.34,0
95242,2014,7,8.53,0
95242,2014,8,7.42,0
95242,2014,9,5.7700000000000005,0
95242,2014,10,4.05,0
95242,2014,11,1.6,0
95242,2014,12,1.15,0
95466,2014,1,1.97,0
95466,2014,2,1.54,0
95466,2014,3,2.9,0
95466,2014,4,4.18,0
95466,2014,5,5.82,0
95466,2014,6,6.71,0
95466,2014,7,7.1,0
95466,2014,8,6.22,0
95466,2014,9,4.68,0
95466,2014,10,3.26,0
95466,2014,11,1.45,0
95466,2014,12,1.06,0
95482,2014,1,2.04,0
95482,2014,2,1.56,0
95482,2014,3,2.96,0
95482,2014,4,4.33,0
95482,2014,5,6.11,0
95482,2014,6,7.0,0
95482,2014,7,7.21,0
95482,2014,8,6.3,0
95482,2014,9,4.79,0
95482,2014,10,3.29,0
95482,2014,11,1.4,0
95482,2014,12,1.05,0
95612,2014,1,1.86,0
95612,2014,2,1.92,0
95612,2014,3,3.73,0
95612,2014,4,5.0200000000000005,0
95612,2014,5,7.37,0
95612,2014,6,8.22,0
95612,2014,7,8.37,0
95612,2014,8,7.2,0
95612,2014,9,5.71,0
95612,2014,10,3.98,0
