year,county,annual_eto_in,annual_precip_in,water_deficit_in
2016,Contra Costa,46.66433216699407,0.0,46.66433216699407
2018,Contra Costa,51.13431386753043,0.0,51.13431386753043
2019,Contra Costa,19.220305711772923,0.0,19.220305711772923
2020,Contra Costa,27.224234062176127,0.0,27.224234062176127
2021,Contra Costa,48.477740064538835,0.0,48.477740064538835
2022,Contra Costa,51.75796293274474,0.0,51.75796293274474
2023,Contra Costa,38.91028503523467,0.0,38.91028503523467
2024,Contra Costa,1.3133971321655835,0.0,1.3133971321655835
2014,El Dorado,23.07282247720922,0.0,23.07282247720922
2016,El Dorado,38.59928652879709,0.0,38.59928652879709
2018,El Dorado,17.37708039470056,0.0,17.37708039470056
2019,El Dorado,50.799552435331755,0.0,50.799552435331755
2020,El Dorado,53.13315011137225,0.0,53.13315011137225
2021,El Dorado,40.75152520562859,0.0,40.75152520562859
2022,El Dorado,7.143861642808932,0.0,7.143861642808932
2023,El Dorado,49.01815698683352,0.0,49.01815698683352
2024,El Dorado,33.46800773187082,0.0,33.46800773187082
2014,Fresno,24.5586979318333,0.0,24.5586979318333
2016,Fresno,37.81992783472912,0.0,37.81992783472912
2018,Fresno,17.18228080027926,0.0,17.18228080027926
2019,Fresno,5.202424973746929,0.0,5.202424973746929
2020,Fresno,6.3021918386547355,0.0,6.3021918386547355
2021,Fresno,9.74537949733558,0.0,9.74537949733558
2022,Fresno,19.15571832866939,0.0,19.15571832866939
2023,Fresno,10.34743536217871,0.0,10.34743536217871
2024,Fresno,20.835968083215825,0.0,20.835968083215825
2014,Glenn,39.778913805977915,0.0,39.778913805977915
2016,Glenn,33.87722192838477,0.0,33.87722192838477
2018,Glenn,52.5,0.0,52.5
2019,Glenn,50.57,0.0,50.57
2020,Glenn,52.94,0.0,52.94
2021,Glenn,49.19,0.0,49.19
2022,Glenn,55.870000000000005,0.0,55.870000000000005
2023,Glenn,49.69,0.0,49.69
2024,Glenn,51.92,0.0,51.92
2014,Humboldt,38.60159700680621,0.0,38.60159700680621
2016,Humboldt,47.74678620912967,0.0,47.74678620912967
2018,Humboldt,48.49005018806847,0.0,48.49005018806847
2019,Humboldt,47.08956270694488,0.0,47.08956270694488
2020,Humboldt,38.82860544118434,0.0,38.82860544118434
2021,Humboldt,35.841624639691155,0.0,35.841624639691155
2022,Humboldt,39.22907831942777,0.0,39.22907831942777
2023,Humboldt,41.08936294849588,0.0,41.08936294849588
2024,Humboldt,42.200240704996,0.0,42.200240704996
2016,Imperial,73.57,0.0,73.57
2018,Imperial,72.28,0.0,72.28
2019,Imperial,73.29,0.0,73.29
2020,Imperial,73.12,0.0,73.12
2021,Imperial,67.53,0.0,67.53
2022,Imperial,78.52,0.0,78.52
2024,Imperial,75.75,0.0,75.75
2014,Kern,49.41775441736365,0.0,49.41775441736365
2016,Kern,60.2178743038952,0.0,60.2178743038952
2018,Kern,58.871097651165535,0.0,58.871097651165535
2019,Kern,20.033835907696446,0.0,20.033835907696446
2020,Kern,8.44967234018753,0.0,8.44967234018753
2021,Kern,43.66522616746671,0.0,43.66522616746671
2022,Kern,14.392087733740077,0.0,14.392087733740077
2023,Kern,19.428966326650766,0.0,19.428966326650766
2024,Kern,30.898327666243745,0.0,30.898327666243745
2014,Kings,26.631654555486815,0.0,26.631654555486815
2016,Kings,39.88188771073146,0.0,39.88188771073146
2018,Kings,59.12198943171726,0.0,59.12198943171726
2019,Kings,47.93342201553582,0.0,47.93342201553582
2020,Kings,42.3613473668554,0.0,42.3613473668554
2021,Kings,54.42911364425718,0.0,54.42911364425718
2022,Kings,61.376911078966096,0.0,61.376911078966096
2023,Kings,54.35788127788399,0.0,54.35788127788399
2024,Kings,55.411194895527665,0.0,55.411194895527665
2014,Lake,42.42676717785197,0.0,42.42676717785197
2016,Lake,13.479427961919548,0.0,13.479427961919548
2018,Lake,45.18618597494741,0.0,45.18618597494741
2019,Lake,45.59968579860604,0.0,45.59968579860604
2020,Lake,47.73016600782367,0.0,47.73016600782367
2021,Lake,22.447252018799038,0.0,22.447252018799038
2022,Lake,49.64929540002957,0.0,49.64929540002957
2023,Lake,43.34485720910064,0.0,43.34485720910064
2024,Lake,46.913007045479006,0.0,46.913007045479006
2014,Los Angeles,31.022443192301516,0.0,31.022443192301516
2016,Los Angeles,21.299827141691402,0.0,21.299827141691402
2018,Los Angeles,6.820841510577863,0.0,6.820841510577863
2019,Los Angeles,11.057286398863292,0.0,11.057286398863292
2020,Los Angeles,9.385049685493385,0.0,9.385049685493385
2021,Los Angeles,13.579089719185442,0.0,13.579089719185442
2022,Los Angeles,17.132026914712313,0.0,17.132026914712313
2023,Los Angeles,24.554686835145695,0.0,24.554686835145695
2024,Los Angeles,14.248095832843939,0.0,14.248095832843939
2014,Madera,12.470812757922895,0.0,12.470812757922895
2016,Madera,11.737586921738568,0.0,11.737586921738568
2018,Madera,0.0025945383513190923,0.0,0.0025945383513190923
2019,Madera,0.038433949122357626,0.0,0.038433949122357626
2022,Madera,40.85786962584216,0.0,40.85786962584216
2023,Madera,0.023388012192050465,0.0,0.023388012192050465
2024,Madera,7.726041612217508,0.0,7.726041612217508
2014,Marin,17.919879384518318,0.0,17.919879384518318
2016,Marin,5.012456052843974,0.0,5.012456052843974
2018,Marin,39.04036191691846,0.0,39.04036191691846
2019,Marin,40.095338522301454,0.0,40.095338522301454
2020,Marin,31.603862444630717,0.0,31.603862444630717
2021,Marin,36.57600099480264,0.0,36.57600099480264
2022,Marin,41.02377233554663,0.0,41.02377233554663
2023,Marin,36.107950212147315,0.0,36.107950212147315
2024,Marin,40.5893925283194,0.0,40.5893925283194
2014,Mariposa,54.59,0.0,54.59
2016,Mariposa,53.49,0.0,53.49
2019,Mariposa,47.86,0.0,47.86
2021,Mariposa,45.08,0.0,45.08
2023,Mariposa,46.32,0.0,46.32
2014,Mendocino,39.12112537125552,0.0,39.12112537125552
2016,Mendocino,31.652544306666957,0.0,31.652544306666957
2018,Mendocino,44.310687420707666,0.0,44.310687420707666
2019,Mendocino,45.99508982164995,0.0,45.99508982164995
2020,Mendocino,46.232755130228156,0.0,46.232755130228156
