year,county,month,eto_in,precip_in
2023,Contra Costa,6,5.201407029645813,0.0
2023,Contra Costa,7,6.182591060162711,0.0
2023,Contra Costa,8,5.512345921103422,0.0
2023,Contra Costa,9,3.8924266144192243,0.0
2023,Contra Costa,10,2.849195455192837,0.0
2023,Contra Costa,11,1.5399163859123615,0.0
2023,Contra Costa,12,0.8313258228254081,0.0
2024,Contra Costa,1,0.03107803915377953,0.0
2024,Contra Costa,2,0.04843694390634106,0.0
2024,Contra Costa,3,0.085394612089214,0.0
2024,Contra Costa,4,0.11647265124299354,0.0
2024,Contra Costa,5,0.16098984246327233,0.0
2024,Contra Costa,6,0.18282846457133362,0.0
2024,Contra Costa,7,0.20158728099748882,0.0
2024,Contra Costa,8,0.17358904752561538,0.0
2024,Contra Costa,9,0.1357914323385862,0.0
2024,Contra Costa,10,0.10275351684177556,0.0
2024,Contra Costa,11,0.047876979236903594,0.0
2024,Contra Costa,12,0.026598321798279773,0.0
2014,El Dorado,1,0.8161772586687875,0.0
2014,El Dorado,2,0.8312722881411867,0.0
2014,El Dorado,3,1.4986219015768079,0.0
2014,El Dorado,4,1.9959938942178133,0.0
2014,El Dorado,5,2.818191314381917,0.0
2014,El Dorado,6,3.3334921043337955,0.0
2014,El Dorado,7,3.5273441779951984,0.0
2014,El Dorado,8,3.0256782490365235,0.0
2014,El Dorado,9,2.3533128614897714,0.0
2014,El Dorado,10,1.6675083439523064,0.0
2014,El Dorado,11,0.7395377116873274,0.0
2014,El Dorado,12,0.46569237172778455,0.0
2016,El Dorado,1,0.8938922837869219,0.0
2016,El Dorado,2,1.6694818585772606,0.0
2016,El Dorado,3,2.22078961438082,0.0
2016,El Dorado,4,3.3413437171671183,0.0
2016,El Dorado,5,4.21247783473693,0.0
2016,El Dorado,6,5.810648010399361,0.0
2016,El Dorado,7,6.282834334066756,0.0
2016,El Dorado,8,5.7118802619588385,0.0
2016,El Dorado,9,4.138351292173468,0.0
2016,El Dorado,10,2.2458900741519154,0.0
2016,El Dorado,11,1.3216581894595656,0.0
2016,El Dorado,12,0.7500390579381332,0.0
2018,El Dorado,1,0.40293976522907926,0.0
2018,El Dorado,2,0.711874433697611,0.0
2018,El Dorado,3,0.9054311920951418,0.0
2018,El Dorado,4,1.398826054648822,0.0
2018,El Dorado,5,1.9513212595521134,0.0
2018,El Dorado,6,2.5200970080522698,0.0
2018,El Dorado,7,2.8110424682121553,0.0
2018,El Dorado,8,2.432047382105117,0.0
2018,El Dorado,9,1.8938786156114076,0.0
2018,El Dorado,10,1.2521777232037554,0.0
2018,El Dorado,11,0.6830723163675538,0.0
2018,El Dorado,12,0.41437217592553455,0.0
2019,El Dorado,1,1.4744948176171164,0.0
2019,El Dorado,2,1.5370733994663042,0.0
2019,El Dorado,3,2.886806231888693,0.0
2019,El Dorado,4,4.269746553451894,0.0
2019,El Dorado,5,4.846068540480676,0.0
2019,El Dorado,6,7.143296040639088,0.0
2019,El Dorado,7,8.221950484884475,0.0
2019,El Dorado,8,7.833825422647781,0.0
2019,El Dorado,9,5.328333560710755,0.0
2019,El Dorado,10,4.043329655289916,0.0
2019,El Dorado,11,2.192016404014562,0.0
2019,El Dorado,12,1.0226113242404953,0.0
2020,El Dorado,1,1.3292535466386806,0.0
2020,El Dorado,2,2.646352262970353,0.0
2020,El Dorado,3,2.870317642811418,0.0
2020,El Dorado,4,4.25989638446119,0.0
2020,El Dorado,5,5.71929272998213,0.0
2020,El Dorado,6,7.445694114817875,0.0
2020,El Dorado,7,8.328112475724762,0.0
2020,El Dorado,8,7.63918889969478,0.0
2020,El Dorado,9,5.607475057202987,0.0
2020,El Dorado,10,4.156586431124891,0.0
2020,El Dorado,11,1.938322332410891,0.0
2020,El Dorado,12,1.3133111521697143,0.0
2021,El Dorado,1,0.8390148544926995,0.0
2021,El Dorado,2,1.2199505371887254,0.0
2021,El Dorado,3,2.0462797053393804,0.0
2021,El Dorado,5,4.2667667882388765,0.0
2021,El Dorado,6,4.870622657272785,0.0
2021,El Dorado,7,8.474090453783662,0.0
2021,El Dorado,8,7.422114513962293,0.0
2021,El Dorado,9,5.910873653403591,0.0
2021,El Dorado,10,3.2242315889098734,0.0
2021,El Dorado,11,1.6147277153936035,0.0
2021,El Dorado,12,0.8628527376431037,0.0
2022,El Dorado,1,0.1941346392565055,0.0
2022,El Dorado,2,0.3202996944753031,0.0
2022,El Dorado,3,0.4953694670719584,0.0
2022,El Dorado,4,0.6024937200582395,0.0
2022,El Dorado,5,0.8499981127872851,0.0
2022,El Dorado,6,0.981051417425658,0.0
2022,El Dorado,7,1.082798623723362,0.0
2022,El Dorado,8,1.0147046309395724,0.0
2022,El Dorado,9,0.7527940579388506,0.0
2022,El Dorado,10,0.5269301788666109,0.0
2022,El Dorado,11,0.2185585659369097,0.0
2022,El Dorado,12,0.1047285343286764,0.0
2023,El Dorado,1,1.4752355281946843,0.0
2023,El Dorado,2,1.6682918640843738,0.0
2023,El Dorado,3,2.309534896821365,0.0
2023,El Dorado,4,4.505989132610644,0.0
2023,El Dorado,5,5.373539411547718,0.0
2023,El Dorado,6,6.278665266944177,0.0
2023,El Dorado,7,8.558039728908769,0.0
2023,El Dorado,8,7.278362495988805,0.0
2023,El Dorado,9,4.9083627584908545,0.0
2023,El Dorado,10,3.5597794333966535,0.0
2023,El Dorado,11,1.9353197864481904,0.0
2023,El Dorado,12,1.1670366833972803,0.0
2024,El Dorado,1,0.7766385829895249,0.0
2024,El Dorado,2,1.1323727591890074,0.0
2024,El Dorado,3,1.7845701905833329,0.0
2024,El Dorado,4,2.648505168398371,0.0
2024,El Dorado,5,4.055821546520922,0.0
2024,El Dorado,6,4.935787003584661,0.0
2024,El Dorado,7,5.408060355263998,0.0
2024,El Dorado,8,4.650543296888183,0.0
2024,El Dorado,9,3.6631474271960287,0.0
2024,El Dorado,10,2.6187003496115953,0.0
2024,El Dorado,11,1.0832574406547377,0.0
2024,El Dorado,12,0.7106036109904621,0.0
2014,Fresno,1,0.7238112701488961,0.0
2014,Fresno,2,0.8955787227321947,0.0
2014,Fresno,3,1.639665800375055,0.0
2014,Fresno,4,2.2340677095989667,0.0
2014,Fresno,5,3.2436521919575783,0.0
2014,Fresno,6,3.6289044995329145,0.0
2014,Fresno,7,3.64083806248242,0.0
2014,Fresno,8,3.2488344761658734,0.0
2014,Fresno,9,2.505563681697532,0.0
2014,Fresno,10,1.7063336157640079,0.0
2014,Fresno,11,0.6693434647806458,0.0
2014,Fresno,12,0.4221044365972161,0.0
2016,Fresno,1,0.6936716290316779,0.0
2016,Fresno,2,1.3732484712996482,0.0
2016,Fresno,3,2.2961612831322804,0.0
2016,Fresno,4,3.461300646207572,0.0
2016,Fresno,5,4.686639797090813,0.0
2016,Fresno,6,5.821149634255047,0.0
2016,Fresno,7,6.05633570322466,0.0
2016,Fresno,8,5.290916987561021,0.0
2016,Fresno,9,3.92109323949993,0.0
2016,Fresno,10,2.3991928311706685,0.0
2016,Fresno,11,1.1864742605195926,0.0
2016,Fresno,12,0.6337433517362125,0.0
2018,Fresno,1,0.33798126946170265,0.0
2018,Fresno,2,0.7129545398312668,0.0
2018,Fresno,3,0.9063866338237869,0.0
2018,Fresno,4,1.5517109478418902,0.0
2018,Fresno,5,2.1335405491865305,0.0
2018,Fresno,6,2.5390447246046643,0.0
2018,Fresno,7,2.8151754776166,0.0
2018,Fresno,8,2.389477547979368,0.0
2018,Fresno,9,1.794887585656512,0.0
2018,Fresno,10,1.1310678618902694,0.0
2018,Fresno,11,0.591222529157198,0.0
2018,Fresno,12,0.27883113322946884,0.0
2019,Fresno,1,0.11966746517862441,0.0
2019,Fresno,2,0.16278684178873634,0.0
2019,Fresno,3,0.31719145234951096,0.0
2019,Fresno,4,0.4924925881441265,0.0
2019,Fresno,5,0.5352420629774558,0.0
2019,Fresno,6,0.7831224726653554,0.0
2019,Fresno,7,0.8337703224599589,0.0
2019,Fresno,8,0.7564993043980375,0.0
2019,Fresno,9,0.5553002973701441,0.0
2019,Fresno,10,0.36421909113279577,0.0
2019,Fresno,11,0.19713785464169778,0.0
2019,Fresno,12,0.0849952206404859,0.0
2020,Fresno,1,0.16120647535733051,0.0
2020,Fresno,2,0.38018079178451586,0.0
2020,Fresno,3,0.4565244334647506,0.0
2020,Fresno,4,0.7052806042575658,0.0
2020,Fresno,5,1.033349457156788,0.0
2020,Fresno,6,1.2013671409725841,0.0
2020,Fresno,7,0.6957643125297429,0.0
2020,Fresno,8,0.6159084990920195,0.0
2020,Fresno,9,0.448156395021683,0.0
2020,Fresno,10,0.3194079515373198,0.0
2020,Fresno,11,0.1705972236720944,0.0
2020,Fresno,12,0.11444855380834076,0.0
2021,Fresno,1,0.24102251686018122,0.0
2021,Fresno,2,0.4213145781327133,0.0
2021,Fresno,3,0.6767468605257686,0.0
2021,Fresno,5,1.4660411873344703,0.0
2021,Fresno,6,1.6062558363434927,0.0
2021,Fresno,7,1.6621392782522548,0.0
2021,Fresno,8,1.4759027875991397,0.0
2021,Fresno,9,1.1224426173753643,0.0
2021,Fresno,10,0.6347396414741966,0.0
2021,Fresno,11,0.2838804495913934,0.0
2021,Fresno,12,0.15489374384660587,0.0
2022,Fresno,1,0.3839955176395484,0.0
2022,Fresno,2,0.7426091902072431,0.0
2022,Fresno,3,1.2585116619156853,0.0
2022,Fresno,4,1.7637748218523475,0.0
2022,Fresno,5,2.5017632324180394,0.0
2022,Fresno,6,2.864340128178064,0.0
2022,Fresno,7,2.9457776858516707,0.0
2022,Fresno,8,2.665791409522395,0.0
2022,Fresno,9,1.9944031679189789,0.0
2022,Fresno,10,1.2920226589481327,0.0
