year,ava_id,annual_eto_in,annual_precip_in,ava_name,water_deficit_in
2022,cienega_valley,52.089999999999996,0.0,Cienega Valley,52.089999999999996
2023,cienega_valley,45.84,0.0,Cienega Valley,45.84
2024,cienega_valley,48.74,0.0,Cienega Valley,48.74
2014,clarksburg,48.10772746367321,0.0,Clarksburg,48.10772746367321
2016,clarksburg,47.015706944742476,0.0,Clarksburg,47.015706944742476
2018,clarksburg,32.26851364585983,0.0,Clarksburg,32.26851364585983
2019,clarksburg,38.667690684492676,0.0,Clarksburg,38.667690684492676
2020,clarksburg,32.112044320665,0.0,Clarksburg,32.112044320665
2022,clarksburg,42.57359183563162,0.0,Clarksburg,42.57359183563162
2023,clarksburg,36.632877883548176,0.0,Clarksburg,36.632877883548176
2024,clarksburg,37.97616812359801,0.0,Clarksburg,37.97616812359801
2014,clear_lake,47.715429244801506,0.0,Clear Lake,47.715429244801506
2016,clear_lake,13.917977030783197,0.0,Clear Lake,13.917977030783197
2018,clear_lake,45.14829879329707,0.0,Clear Lake,45.14829879329707
2019,clear_lake,45.598732510045295,0.0,Clear Lake,45.598732510045295
2020,clear_lake,47.62753201615266,0.0,Clear Lake,47.62753201615266
2021,clear_lake,27.851025831488194,0.0,Clear Lake,27.851025831488194
2022,clear_lake,49.53204479944803,0.0,Clear Lake,49.53204479944803
2023,clear_lake,43.05292848218108,0.0,Clear Lake,43.05292848218108
2024,clear_lake,46.79348039225363,0.0,Clear Lake,46.79348039225363
2014,clements_hills,34.96788601573068,0.0,Clements Hills,34.96788601573068
2016,clements_hills,31.663263907359443,0.0,Clements Hills,31.663263907359443
2018,clements_hills,3.0037458853369445,0.0,Clements Hills,3.0037458853369445
2019,clements_hills,20.644478752349393,0.0,Clements Hills,20.644478752349393
2020,clements_hills,52.81138714046323,0.0,Clements Hills,52.81138714046323
2021,clements_hills,29.159499419154077,0.0,Clements Hills,29.159499419154077
2022,clements_hills,10.048467884026895,0.0,Clements Hills,10.048467884026895
2023,clements_hills,27.724675901729203,0.0,Clements Hills,27.724675901729203
2024,clements_hills,42.28829589006567,0.0,Clements Hills,42.28829589006567
2014,cole_ranch,48.04,0.0,Cole Ranch,48.04
2016,cole_ranch,43.36,0.0,Cole Ranch,43.36
2018,cole_ranch,44.550000000000004,0.0,Cole Ranch,44.550000000000004
2019,cole_ranch,46.22,0.0,Cole Ranch,46.22
2020,cole_ranch,46.37,0.0,Cole Ranch,46.37
2021,cole_ranch,44.07,0.0,Cole Ranch,44.07
2022,cole_ranch,47.01,0.0,Cole Ranch,47.01
2023,cole_ranch,42.95,0.0,Cole Ranch,42.95
2024,cole_ranch,45.52,0.0,Cole Ranch,45.52
2014,comptche,48.7,0.0,Comptche,48.7
2016,comptche,43.64,0.0,Comptche,43.64
2018,comptche,44.54,0.0,Comptche,44.54
2019,comptche,47.29,0.0,Comptche,47.29
2020,comptche,45.94,0.0,Comptche,45.94
2022,comptche,45.26,0.0,Comptche,45.26
2023,comptche,42.980000000000004,0.0,Comptche,42.980000000000004
2024,comptche,45.160000000000004,0.0,Comptche,45.160000000000004
2014,contra_costa,53.162184973754655,0.0,Contra Costa,53.162184973754655
2016,contra_costa,46.809480309932916,0.0,Contra Costa,46.809480309932916
2018,contra_costa,51.253082401226855,0.0,Contra Costa,51.253082401226855
2019,contra_costa,20.027524836394583,0.0,Contra Costa,20.027524836394583
2020,contra_costa,27.27639424839548,0.0,Contra Costa,27.27639424839548
2021,contra_costa,48.57437555171999,0.0,Contra Costa,48.57437555171999
2022,contra_costa,52.061338644973354,0.0,Contra Costa,52.061338644973354
2023,contra_costa,39.06415508424715,0.0,Contra Costa,39.06415508424715
2024,contra_costa,1.1070599759921553,0.0,Contra Costa,1.1070599759921553
2014,coombsville,38.58123357783433,0.0,Coombsville,38.58123357783433
2016,coombsville,46.12900395205594,0.0,Coombsville,46.12900395205594
2018,coombsville,47.095203484578875,0.0,Coombsville,47.095203484578875
2019,coombsville,37.04987298040477,0.0,Coombsville,37.04987298040477
2020,coombsville,49.9563650753476,0.0,Coombsville,49.9563650753476
2021,coombsville,44.7233538308207,0.0,Coombsville,44.7233538308207
2022,coombsville,51.58186236411907,0.0,Coombsville,51.58186236411907
2023,coombsville,45.957922464087076,0.0,Coombsville,45.957922464087076
2024,coombsville,48.965151889176845,0.0,Coombsville,48.965151889176845
2014,cosumnes_river,19.79573579827863,0.0,Cosumnes River,19.79573579827863
2016,cosumnes_river,19.558159862822528,0.0,Cosumnes River,19.558159862822528
2019,cosumnes_river,19.583436010773816,0.0,Cosumnes River,19.583436010773816
2021,cosumnes_river,17.726400059675996,0.0,Cosumnes River,17.726400059675996
2018,covelo,48.18,0.0,Covelo,48.18
2019,covelo,48.7,0.0,Covelo,48.7
2020,covelo,46.88,0.0,Covelo,46.88
2023,covelo,45.19,0.0,Covelo,45.19
2024,covelo,47.48,0.0,Covelo,47.48
2014,creston_district,54.4532118917316,0.0,Creston District,54.4532118917316
2016,creston_district,52.37623822513818,0.0,Creston District,52.37623822513818
2018,creston_district,53.64573247643332,0.0,Creston District,53.64573247643332
2019,creston_district,52.05131745125894,0.0,Creston District,52.05131745125894
2020,creston_district,52.37188600359283,0.0,Creston District,52.37188600359283
2021,creston_district,49.096505967684934,0.0,Creston District,49.096505967684934
2022,creston_district,56.28801228665565,0.0,Creston District,56.28801228665565
2023,creston_district,49.18674643678597,0.0,Creston District,49.18674643678597
2024,creston_district,52.05438070368274,0.0,Creston District,52.05438070368274
2014,crystal_springs_of_napa_valley,5.938506660620854,0.0,Crystal Springs of Napa Valley ,5.938506660620854
2016,crystal_springs_of_napa_valley,38.96066102005969,0.0,Crystal Springs of Napa Valley ,38.96066102005969
2018,crystal_springs_of_napa_valley,46.16646014382036,0.0,Crystal Springs of Napa Valley ,46.16646014382036
2019,crystal_springs_of_napa_valley,46.390294174532166,0.0,Crystal Springs of Napa Valley ,46.390294174532166
2020,crystal_springs_of_napa_valley,49.05871237669625,0.0,Crystal Springs of Napa Valley ,49.05871237669625
2021,crystal_springs_of_napa_valley,44.08306441778151,0.0,Crystal Springs of Napa Valley ,44.08306441778151
2022,crystal_springs_of_napa_valley,50.76600242553262,0.0,Crystal Springs of Napa Valley ,50.76600242553262
2023,crystal_springs_of_napa_valley,45.03360862217981,0.0,Crystal Springs of Napa Valley ,45.03360862217981
2024,crystal_springs_of_napa_valley,48.32890867788587,0.0,Crystal Springs of Napa Valley ,48.32890867788587
2014,cucamonga_valley,61.445455959902205,0.0,Cucamonga Valley,61.445455959902205
2016,cucamonga_valley,15.79275472693299,0.0,Cucamonga Valley,15.79275472693299
2018,cucamonga_valley,61.90002678107778,0.0,Cucamonga Valley,61.90002678107778
2019,cucamonga_valley,57.00032076603542,0.0,Cucamonga Valley,57.00032076603542
2020,cucamonga_valley,60.71011838971324,0.0,Cucamonga Valley,60.71011838971324
2022,cucamonga_valley,60.097943008309805,0.0,Cucamonga Valley,60.097943008309805
2024,cucamonga_valley,56.67504585980546,0.0,Cucamonga Valley,56.67504585980546
2018,diablo_grande,52.58,0.0,Diablo Grande,52.58
2019,diablo_grande,50.44,0.0,Diablo Grande,50.44
2020,diablo_grande,52.02,0.0,Diablo Grande,52.02
2021,diablo_grande,48.06,0.0,Diablo Grande,48.06
2018,diamond_mountain_district,44.59,0.0,Diamond Mountain District,44.59
2019,diamond_mountain_district,45.12,0.0,Diamond Mountain District,45.12
2020,diamond_mountain_district,47.47,0.0,Diamond Mountain District,47.47
2021,diamond_mountain_district,42.8,0.0,Diamond Mountain District,42.8
2022,diamond_mountain_district,48.71,0.0,Diamond Mountain District,48.71
2023,diamond_mountain_district,43.53,0.0,Diamond Mountain District,43.53
2024,diamond_mountain_district,46.62,0.0,Diamond Mountain District,46.62
2016,dos_rios,46.88,0.0,Dos Rios,46.88
2018,dos_rios,48.18,0.0,Dos Rios,48.18
2019,dos_rios,48.7,0.0,Dos Rios,48.7
2020,dos_rios,46.88,0.0,Dos Rios,46.88
2023,dos_rios,45.19,0.0,Dos Rios,45.19
2024,dos_rios,47.48,0.0,Dos Rios,47.48
2014,dry_creek_valley,44.96095630202453,0.0,Dry Creek Valley,44.96095630202453
2016,dry_creek_valley,41.67155011677252,0.0,Dry Creek Valley,41.67155011677252
2018,dry_creek_valley,42.772297614041605,0.0,Dry Creek Valley,42.772297614041605
2019,dry_creek_valley,8.31937149649542,0.0,Dry Creek Valley,8.31937149649542
2020,dry_creek_valley,45.486835570872934,0.0,Dry Creek Valley,45.486835570872934
2021,dry_creek_valley,41.15105366897113,0.0,Dry Creek Valley,41.15105366897113
2022,dry_creek_valley,45.82635728897289,0.0,Dry Creek Valley,45.82635728897289
2023,dry_creek_valley,41.5347765046293,0.0,Dry Creek Valley,41.5347765046293
2024,dry_creek_valley,44.471030983769246,0.0,Dry Creek Valley,44.471030983769246
2014,dunnigan_hills,16.538206983447637,0.0,Dunnigan Hills,16.538206983447637
2016,dunnigan_hills,35.5536047202146,0.0,Dunnigan Hills,35.5536047202146
2018,dunnigan_hills,52.62093103146698,0.0,Dunnigan Hills,52.62093103146698
2019,dunnigan_hills,51.543127228468066,0.0,Dunnigan Hills,51.543127228468066
2020,dunnigan_hills,47.343428285598456,0.0,Dunnigan Hills,47.343428285598456
2021,dunnigan_hills,50.3432198806042,0.0,Dunnigan Hills,50.3432198806042
2023,dunnigan_hills,51.582212293056585,0.0,Dunnigan Hills,51.582212293056585
2024,dunnigan_hills,54.97590241309974,0.0,Dunnigan Hills,54.97590241309974
2014,eagle_peak_mendocino_county,4.024460492353871,0.0,Eagle Peak Mendocino County,4.024460492353871
2016,eagle_peak_mendocino_county,44.37332533599855,0.0,Eagle Peak Mendocino County,44.37332533599855
2018,eagle_peak_mendocino_county,45.58158345016069,0.0,Eagle Peak Mendocino County,45.58158345016069
2019,eagle_peak_mendocino_county,47.36113212796556,0.0,Eagle Peak Mendocino County,47.36113212796556
2020,eagle_peak_mendocino_county,47.24647553235077,0.0,Eagle Peak Mendocino County,47.24647553235077
2021,eagle_peak_mendocino_county,45.35732344134064,0.0,Eagle Peak Mendocino County,45.35732344134064
2022,eagle_peak_mendocino_county,48.18774774149537,0.0,Eagle Peak Mendocino County,48.18774774149537
2023,eagle_peak_mendocino_county,43.990800329693585,0.0,Eagle Peak Mendocino County,43.990800329693585
2024,eagle_peak_mendocino_county,46.42374738947891,0.0,Eagle Peak Mendocino County,46.42374738947891
2014,edna_valley,5.179972811953616,0.0,Edna Valley,5.179972811953616
2018,edna_valley,49.43698735870835,0.0,Edna Valley,49.43698735870835
2019,edna_valley,46.322817095368094,0.0,Edna Valley,46.322817095368094
2020,edna_valley,47.79999047951623,0.0,Edna Valley,47.79999047951623
2021,edna_valley,43.20974855215507,0.0,Edna Valley,43.20974855215507
2022,edna_valley,49.95849930199289,0.0,Edna Valley,49.95849930199289
2023,edna_valley,43.45646794616896,0.0,Edna Valley,43.45646794616896
2024,edna_valley,45.27229408960377,0.0,Edna Valley,45.27229408960377
2014,el_dorado,23.796902729219777,0.0,El Dorado,23.796902729219777
2016,el_dorado,40.97769071030282,0.0,El Dorado,40.97769071030282
2018,el_dorado,14.19943186528907,0.0,El Dorado,14.19943186528907
2019,el_dorado,50.6369452292124,0.0,El Dorado,50.6369452292124
2020,el_dorado,53.07700043616613,0.0,El Dorado,53.07700043616613
2021,el_dorado,39.86414850825514,0.0,El Dorado,39.86414850825514
2022,el_dorado,2.7586905473232854,0.0,El Dorado,2.7586905473232854
2023,el_dorado,48.773970486759076,0.0,El Dorado,48.773970486759076
2024,el_dorado,31.415396061674553,0.0,El Dorado,31.415396061674553
2014,el_pomar_district,22.49501852349029,0.0,El Pomar District,22.49501852349029
2016,el_pomar_district,21.87390092485434,0.0,El Pomar District,21.87390092485434
2018,el_pomar_district,51.959889170491124,0.0,El Pomar District,51.959889170491124
2019,el_pomar_district,49.9259587511816,0.0,El Pomar District,49.9259587511816
2020,el_pomar_district,50.61614791227463,0.0,El Pomar District,50.61614791227463
2021,el_pomar_district,47.03876188419735,0.0,El Pomar District,47.03876188419735
2022,el_pomar_district,54.52178720363153,0.0,El Pomar District,54.52178720363153
2023,el_pomar_district,47.64549692024687,0.0,El Pomar District,47.64549692024687
2024,el_pomar_district,50.08379080204298,0.0,El Pomar District,50.08379080204298
2016,fair_play,52.85,0.0,Fair Play,52.85
2019,fair_play,49.76,0.0,Fair Play,49.76
2020,fair_play,52.24,0.0,Fair Play,52.24
2021,fair_play,27.35,0.0,Fair Play,27.35
2023,fair_play,48.74,0.0,Fair Play,48.74
2018,fiddletown,0.5690541767609127,0.0,Fiddletown,0.5690541767609127
2019,fiddletown,50.9048675481222,0.0,Fiddletown,50.9048675481222
2020,fiddletown,0.522397918111611,0.0,Fiddletown,0.522397918111611
2014,fort_ross_seaview,42.60574738424069,0.0,Fort Ross-Seaview,42.60574738424069
2016,fort_ross_seaview,38.62834654700272,0.0,Fort Ross-Seaview,38.62834654700272
2018,fort_ross_seaview,39.50184860782005,0.0,Fort Ross-Seaview,39.50184860782005
2019,fort_ross_seaview,41.73433487279212,0.0,Fort Ross-Seaview,41.73433487279212
2020,fort_ross_seaview,42.4426538655386,0.0,Fort Ross-Seaview,42.4426538655386
2021,fort_ross_seaview,38.41413681628112,0.0,Fort Ross-Seaview,38.41413681628112
2022,fort_ross_seaview,41.410142767892395,0.0,Fort Ross-Seaview,41.410142767892395
2023,fort_ross_seaview,38.553899380290915,0.0,Fort Ross-Seaview,38.553899380290915
2024,fort_ross_seaview,41.21248399277326,0.0,Fort Ross-Seaview,41.21248399277326
2014,fountaingrove_district,28.730086529142437,0.0,Fountaingrove District,28.730086529142437
2016,fountaingrove_district,37.17195570860553,0.0,Fountaingrove District,37.17195570860553
2018,fountaingrove_district,43.36138258522938,0.0,Fountaingrove District,43.36138258522938
2019,fountaingrove_district,44.236261300144974,0.0,Fountaingrove District,44.236261300144974
