year,county,vineyard_acres
2022,Sonoma,60575.72
2022,Stanislaus,6936.51
2022,Sutter,77.81
2022,Tehama,251.0
2022,Trinity,130.28
2022,Tulare,40694.57
2022,Tuolumne,51.49
2022,Ventura,85.45
2022,Yolo,19507.2
2022,Yuba,194.21
2023,Alameda,2813.08
2023,Amador,3618.25
2023,Butte,179.85
2023,Calaveras,779.29
2023,Colusa,1476.45
2023,Contra Costa,1709.06
2023,El Dorado,2434.29
2023,Fresno,125768.34
2023,Glenn,2.49
2023,Humboldt,130.74
2023,Imperial,143.64
2023,Kern,75120.23
2023,Kings,4247.2
2023,Lake,12532.38
2023,Los Angeles,329.81
2023,Madera,50564.93
2023,Marin,180.19
2023,Mariposa,37.97
2023,Mendocino,17530.28
2023,Merced,14787.28
2023,Mono,13.93
2023,Monterey,50160.62
2023,Napa,46227.12
2023,Nevada,412.06
2023,Placer,288.25
2023,Riverside,6244.04
2023,Sacramento,36172.82
2023,San Benito,4061.13
2023,San Bernardino,21.11
2023,San Diego,1033.06
2023,San Joaquin,81771.79
2023,San Luis Obispo,46720.32
2023,San Mateo,102.0
2023,Santa Barbara,21653.13
2023,Santa Clara,1657.64
2023,Santa Cruz,595.76
2023,Shasta,109.31
2023,Siskiyou,21.26
2023,Solano,5351.89
2023,Sonoma,60878.1
2023,Stanislaus,7322.3
2023,Sutter,48.17
2023,Tehama,253.43
2023,Trinity,120.81
2023,Tulare,38349.16
2023,Tuolumne,55.22
2023,Ventura,99.55
2023,Yolo,18938.25
2023,Yuba,198.99
2024,Alameda,2834.03
2024,Amador,3597.26
2024,Butte,180.99
2024,Calaveras,778.22
2024,Colusa,1472.71
2024,Contra Costa,1677.7
2024,El Dorado,2495.63
2024,Fresno,120834.2
2024,Glenn,2.89
2024,Humboldt,127.86
2024,Imperial,143.64
2024,Kern,69908.86
2024,Kings,4256.86
2024,Lake,12783.24
2024,Los Angeles,314.78
2024,Madera,49995.93
2024,Marin,180.18
2024,Mariposa,33.25
2024,Mendocino,17759.74
2024,Merced,14596.91
2024,Mono,13.86
2024,Monterey,51118.53
2024,Napa,46748.76
2024,Nevada,402.36
2024,Placer,299.19
2024,Riverside,5866.77
2024,Sacramento,36284.71
2024,San Benito,4232.39
2024,San Bernardino,417.8
2024,San Diego,1064.9
2024,San Joaquin,80922.94
2024,San Luis Obispo,48966.21
2024,San Mateo,151.11
2024,Santa Barbara,21487.67
2024,Santa Clara,1480.34
2024,Santa Cruz,596.92
2024,Shasta,107.91
2024,Siskiyou,17.51
2024,Solano,6094.33
2024,Sonoma,62052.24
2024,Stanislaus,6931.15
2024,Sutter,106.17
2024,Tehama,256.05
2024,Trinity,113.09
2024,Tulare,36808.22
2024,Tuolumne,56.56
2024,Ventura,93.9
2024,Yolo,18837.83
2024,Yuba,174.93
